ticker,company,average_sentiment,article_count
AMTM,Amentum Holdings Inc.,0.1582142857142857,28
AMZN,Amazon.com Inc.,0.3023989915966387,238
ARCO,Arcos Dorados Holdings Inc.,0.29754363636363634,11
ASTH,Astrana Health Inc.,0.22814,6
AVGO,Broadcom Inc.,0.3082920661157025,242
AXON,Axon Enterprise Inc.,0.3209113043478261,46
BIIB,Biogen Inc.,0.1370488888888889,36
BILL,BILL Holdings Inc.,0.18719875,16
BRZE,Braze Inc.,0.20116666666666663,3
CG,Centerra Gold Inc.,0.30176333333333333,24
CHMI,Cherry Hill Mortgage Investment Corporation,0.11839999999999999,3
CIVI,Civitas Resources Inc.,0.13058666666666666,6
CLDX,Celldex Therapeutics Inc.,0.273225,4
CMPS,COMPASS Pathways plc,0.49892999999999993,2
COUR,Coursera Inc.,0.43423,2
CRM,Salesforce Inc.,0.25513539393939394,165
CVE,Cenovus Energy Inc.,0.36428133333333335,15
DDOG,Datadog Inc.,0.3475652380952381,42
DHR,Danaher Corporation,0.16171066666666664,30
DVN,Devon Energy Corporation,0.389333,40
DXCM,DexCom Inc.,0.23291061224489792,49
EVH,Evolent Health Inc.,0.31081000000000003,8
FSLR,First Solar Inc.,0.30015600000000003,30
G,Assicurazioni Generali S.p.A.,0.5692323076923077,13
GOOGL,Alphabet Inc.,0.25063128205128204,234
GPCR,Structure Therapeutics Inc.,0.17147142857142855,7
HAL,Halliburton Company,0.15730466666666665,30
HBM,Hudbay Minerals Inc.,0.3150657142857143,14
HQY,HealthEquity Inc.,0.515510909090909,11
IDYA,IDEAYA Biosciences Inc.,0.3004675,8
IMCR,Immunocore Holdings plc,0.04167818181818182,11
IMVT,Immunovant Inc.,0.17411333333333334,3
INSW,International Seaways Inc.,0.24389555555555553,18
LKQ,LKQ Corporation,0.2090327272727273,11
LVO,LiveOne Inc.,0.37107777777777773,9
LW,Lamb Weston Holdings Inc.,0.07730247191011236,89
MA,Mastercard Incorporated,0.2872248854961832,131
MDLZ,Mondelez International Inc.,0.2974629166666667,48
MDXG,MiMedx Group Inc.,0.17705,2
META,Meta Platforms Inc.,0.20578543103448274,232
MNMD,Mind Medicine (MindMed) Inc.,0.13100000000000003,6
MRVL,Marvell Technology Inc.,0.25841854545454546,110
MSFT,Microsoft Corporation,0.2799114644351464,239
MU,Micron Technology Inc.,0.14199463203463203,231
NVDA,NVIDIA Corporation,0.21203560165975105,241
PACS,PACS Group Inc.,-0.1360526530612245,49
PFGC,Performance Food Group Company,0.32271333333333335,9
PRU,Prudential Financial Inc.,0.13124324324324324,37
RCI,Rogers Communications Inc.,0.16547999999999996,13
RCKT,Rocket Pharmaceuticals Inc.,0.273768,5
RLX,RLX Technology Inc.,0.40904,3
SHOP,Shopify Inc.,0.3653727586206897,58
SLB,Schlumberger Limited,0.25730666666666663,51
SLP,Simulations Plus Inc.,0.23819249999999997,16
SMCI,Super Micro Computer Inc.,0.40816272727272723,154
SNDX,Syndax Pharmaceuticals Inc.,0.166956,5
SPB,Superior Plus Corp.,0.3077933333333333,3
STZ,Constellation Brands Inc.,0.015550309278350511,97
TCOM,Trip.com Group Limited,0.2644644444444444,9
TNC,Tennant Company,0.34526,5
TRVG,trivago N.V.,0.6321466666666667,3
TSLA,Tesla Inc.,0.16126213991769547,243
TWLO,Twilio Inc.,0.32092514285714285,35
TX,Ternium S.A.,0.21638,1
UAL,United Airlines Holdings Inc.,0.4071747252747253,91
UBER,Uber Technologies Inc.,0.22309004329004328,231
UPWK,Upwork Inc.,0.2807375,8
UTZ,Utz Brands Inc.,0.24795599999999998,5
WELL,WELL Health Technologies Corp.,0.22994384615384614,26
XPO,XPO Inc.,0.24960421052631576,19
